RollNo,TOC-TH,OS-TH,ML-TH,HCI-TH,DAA,ADBMS,SEMINAR,HCIL-OR,LP-1 TW,LP1-PR,OSL-TW,OSL-PR,Total
33356.0,75.0,76,73,77,76,0,34,42,21,23,21,24,542.0
33357.0,66.0,45,76,81,81,0,45,43,24,19,24,21,525.0
33358.0,40.0,73,54,68,0,65,47,40,17,18,20,20,462.0
33359.0,75.0,87,86,80,81,0,31,40,23,18,21,21,563.0
33360.0,75.0,66,76,77,78,0,41,40,23,17,21,22,536.0
33361.0,66.0,73,60,61,52,0,37,28,19,20,20,20,456.0
33362.0,70.0,68,69,76,70,0,28,35,17,18,20,19,490.0
33363.0,70.0,75,64,69,78,0,35,38,23,19,22,21,514.0
33364.0,63.0,72,73,73,0,59,43,42,20,13,22,10,490.0
33365.0,63.0,78,72,68,70,0,40,39,22,21,22,20,515.0
33366.0,80.0,78,74,73,71,0,42,38,21,14,22,12,525.0
33367.0,79.0,82,67,67,61,0,34,35,23,19,22,22,511.0
33368.0,78.0,63,67,76,76,0,42,40,23,19,22,18,524.0
33369.0,59.0,54,63,74,62,0,42,42,16,21,22,17,472.0
33370.0,65.0,57,53,54,77,0,43,42,20,18,22,21,472.0
33371.0,56.0,45,53,69,73,0,40,43,23,14,23,13,452.0
33372.0,46.0,75,50,48,62,0,45,43,15,21,18,18,441.0
33373.0,65.0,69,76,79,77,0,35,44,23,20,24,22,534.0
33374.0,58.0,54,71,69,70,0,47,42,23,18,20,20,492.0
33375.0,71.0,81,59,50,0,48,44,43,15,18,20,18,467.0
33376.0,74.0,44,74,80,77,0,36,45,18,17,19,17,501.0
33377.0,54.0,56,57,70,62,0,41,42,22,14,22,10,450.0
33378.0,60.0,73,49,63,68,0,41,43,20,19,22,19,477.0
33379.0,79.0,63,56,72,78,0,36,40,23,18,21,10,496.0
33380.0,56.0,62,46,61,71,0,48,42,22,14,22,11,455.0
33381.0,73.0,52,64,73,76,0,43,40,18,15,21,18,493.0
33382.0,58.0,42,61,54,63,0,39,38,21,18,20,18,432.0
33383.0,0.0,0,0,43,0,0,0,0,0,0,0,0,43.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0,0,0,0,0,0,0,465,0,0,0,0.0
