RollNo,ML-TH,BT-TH,DAOA-TH,LP3-TH,LP4-TH,LP4-PR,PS-TW,Total
44228.0,91.0,65.0,95.0,49.0,77.0,20.0,21.0,418
44229.0,52.0,54.0,45.0,66.0,44.0,36.0,48.0,345
44230.0,51.0,68.0,65.0,43.0,85.0,20.0,34.0,366
44231.0,81.0,66.0,67.0,74.0,96.0,41.0,46.0,471
44232.0,63.0,47.0,85.0,96.0,76.0,44.0,43.0,454
44233.0,54.0,50.0,73.0,78.0,47.0,30.0,44.0,376
44234.0,56.0,67.0,78.0,93.0,81.0,24.0,37.0,436
44235.0,83.0,80.0,96.0,82.0,71.0,22.0,41.0,475
44236.0,62.0,83.0,94.0,88.0,82.0,39.0,34.0,482
44237.0,65.0,63.0,79.0,64.0,80.0,33.0,20.0,404
44238.0,65.0,69.0,52.0,96.0,68.0,28.0,22.0,400
44239.0,61.0,56.0,52.0,85.0,73.0,50.0,49.0,426
44240.0,67.0,92.0,46.0,53.0,53.0,21.0,34.0,366
44241.0,54.0,60.0,61.0,72.0,83.0,38.0,38.0,406
44242.0,82.0,58.0,87.0,95.0,85.0,46.0,24.0,477
44243.0,42.0,74.0,55.0,77.0,98.0,34.0,21.0,401
44244.0,52.0,50.0,90.0,50.0,56.0,45.0,22.0,365
44245.0,65.0,69.0,73.0,91.0,61.0,24.0,27.0,410
44246.0,40.0,49.0,42.0,72.0,93.0,43.0,25.0,364
44247.0,43.0,69.0,79.0,83.0,74.0,37.0,22.0,407
44248.0,90.0,97.0,67.0,68.0,56.0,44.0,49.0,471
44249.0,41.0,87.0,74.0,93.0,53.0,24.0,48.0,420
44250.0,51.0,50.0,55.0,40.0,95.0,49.0,34.0,374
44251.0,99.0,88.0,91.0,69.0,99.0,21.0,41.0,508
44252.0,96.0,95.0,43.0,45.0,42.0,27.0,35.0,383
44253.0,90.0,90.0,67.0,92.0,99.0,41.0,42.0,521
44254.0,88.0,94.0,63.0,63.0,46.0,49.0,44.0,447
44255.0,81.0,45.0,54.0,64.0,58.0,30.0,23.0,355
44256.0,61.0,51.0,75.0,86.0,43.0,43.0,37.0,396
44257.0,47.0,91.0,94.0,85.0,100.0,21.0,31.0,469
44258.0,71.0,63.0,51.0,58.0,61.0,38.0,42.0,384
44259.0,58.0,82.0,54.0,44.0,56.0,37.0,22.0,353
44260.0,42.0,42.0,92.0,51.0,46.0,42.0,22.0,337
44261.0,83.0,41.0,86.0,82.0,58.0,36.0,43.0,429
44262.0,73.0,67.0,45.0,60.0,51.0,35.0,35.0,366
44263.0,60.0,65.0,78.0,96.0,96.0,20.0,47.0,462
44264.0,49.0,42.0,93.0,81.0,65.0,23.0,35.0,388
44265.0,68.0,74.0,86.0,66.0,70.0,28.0,30.0,422
44266.0,60.0,52.0,86.0,52.0,68.0,47.0,44.0,409
44267.0,87.0,96.0,44.0,66.0,96.0,26.0,40.0,455
44268.0,73.0,72.0,85.0,53.0,64.0,33.0,28.0,408
44269.0,59.0,69.0,66.0,71.0,91.0,40.0,42.0,438
44270.0,92.0,43.0,94.0,46.0,89.0,48.0,28.0,440
44271.0,98.0,78.0,67.0,98.0,72.0,47.0,40.0,500
44272.0,46.0,52.0,73.0,71.0,65.0,50.0,29.0,386
44273.0,50.0,56.0,53.0,77.0,83.0,28.0,35.0,382
44274.0,52.0,40.0,46.0,78.0,84.0,40.0,20.0,360
44275.0,40.0,43.0,54.0,68.0,99.0,41.0,27.0,372
44276.0,78.0,94.0,48.0,92.0,57.0,27.0,48.0,444
44277.0,83.0,100.0,100.0,56.0,62.0,29.0,48.0,478
44278.0,67.0,79.0,100.0,100.0,64.0,27.0,41.0,478
44279.0,86.0,90.0,74.0,59.0,55.0,28.0,45.0,437
44280.0,88.0,97.0,42.0,57.0,44.0,22.0,49.0,399
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
